enrolled2015,enrolled2016,enrolled2017,kg,region
na,24,9,СДЯ №1,Средец
na,na,na,"ПГ в 10 СУ ""Теодор Траянов"" (целодневна организация)",Младост
25,na,na,ДГ №9 Пламъче,Овча купел
37,50,20,ДГ №11 Мики Маус (с яслени групи),Младост
na,na,na,ДГ №11 Мики Маус - почасова организация,Младост
57,32,12,ДГ №10 Чебурашка (с яслени групи),Студентски
na,na,na,"ПГ в 8 СУ ""Васил Левски"" (полудневна организация)",Студентски
na,na,na,"ПГ в 12 СУ ""Цар Иван Асен II"" (полудневна организация)",Средец
na,na,na,ДГ №10 Чебурашка - почасова организация,Студентски
na,na,na,"ПГ в 10 СУ ""Теодор Траянов"" (полудневна организация)",Младост
na,48,16,СДЯ №12 Бебеландия,Слатина
na,na,na,"ПГ в 7 СУ ""Св. Седмочисленици"" (полудневна организация)",Средец
na,na,na,ДГ №8 Проф. д-р Елка Петрова - почасова организация,Красно село
na,na,na,"ПГ в 8 СУ ""Васил Левски"" (целодневна организация)",Студентски
40,38,21,ДГ №8 Проф. д-р Елка Петрова (с яслени групи),Красно село
na,na,na,"ПГ в 26 СУ ""Йордан Йовков"" (целодневна организация)",Витоша
55,18,20,ДГ №7 Детелина (с яслени групи),Триадица
na,na,na,"ПГ в 100 ОУ ""Hайден Геров"" (полудневна организация)",Сердика
na,na,na,ДГ №177 Лютиче - почасова организация,Подуяне
na,na,na,"ПГ в 199 ОУ ""Св. ап. Йоан Богослов"" (полудневна организация)",Подуяне
na,na,na,"ПГ в 200 ОУ ""Отец Паисий"" (полудневна организация)",Панчарево
46,20,na,ДГ №199 Сарагоса (с яслени групи),Сердика
na,na,na,ДГ №198 Косе Босе - почасова организация,Връбница
29,na,na,ДГ №197 Китна градина,Люлин
32,30,14,ДГ №198 Косе Босе (с яслени групи),Връбница
56,27,16,ДГ №200 Цветен рай (с яслени групи),Люлин
na,na,na,ДГ №196 Шарл Перо - почасова организация,Красна поляна
na,na,na,ДГ №195 Братя Мормареви - полудневни групи,Оборище
53,na,na,ДГ №196 Шарл Перо,Красна поляна
0,29,11,ДГ №195 Братя Мормареви - сграда ул. Победа 3,Оборище
na,na,na,ДГ №195 Братя Мормареви - сграда ул. Дунав,Оборище
43,na,na,ДГ №195 Братя Мормареви (с яслени групи),Оборище
na,na,na,ДГ №193 Славейче - почасова организация,Лозенец
31,na,na,ДГ №194 Милувка,Възраждане
24,na,na,ДГ №193 Славейче,Лозенец
50,na,na,ДГ №192 Лозичка,Лозенец
na,na,na,ДГ №191 Приказка без край (с яслени групи),Оборище
50,28,12,ДГ №191 Приказка без край - сграда ул. Васил Друмев,Оборище
1,na,na,ДГ №189 Сто усмивки - почасова организация,Младост
30,42,4,"ДГ №188 Вяра, Надежда, Любов (с яслени групи)",Младост
51,20,na,ДГ №189 Сто усмивки (с яслени групи),Младост
25,30,20,ДГ №187 Жар птица (с яслени групи),Красна поляна
62,34,20,ДГ №186 Деница (с яслени групи),Младост
77,50,30,ДГ №185 Звездичка (с яслени групи),Искър
75,20,1,ДГ №184 Мечо Пух (с яслени групи),Слатина
na,na,na,ДГ №182 Пчелица - почасова организация,Панчарево
25,na,na,ДГ №183 Щастливо детство,Слатина
16,na,na,ДГ №182 Пчелица,Панчарево
9,8,na,ДГ №181 Радост,Панчарево
10,1,na,ДГ №185 Звездичка - сграда Враня,Искър
na,na,na,ДГ №180 Зайченцето бяло - почасова организация,Панчарево
30,20,na,ДГ №180 Зайченцето бяло (с яслени групи),Панчарево
52,na,na,ДГ №178 Сребърно копитце (с яслени групи),Младост
na,na,na,"ПГ в 176 ОУ ""Kирил и Методий"" (полудневна организация)",Нови Искър
24,21,na,ДГ №176 Зорница (с яслени групи),Връбница
60,33,6,ДГ №179 Синчец (с яслени групи),Илинден
18,20,3,ДГ №176 Зорница - филиал с. Волуяк,Връбница
27,na,na,ДГ №177 Лютиче,Подуяне
na,na,na,ДГ №175 Слънчеви лъчи - почасова организация,Лозенец
5,20,20,ДГ №178 Сребърно копитце - сграда 2,Младост
23,22,20,ДГ №175 Слънчеви лъчи (с яслени групи),Лозенец
50,na,na,ДГ №174 Фют,Лозенец
50,na,na,ДГ №173 Звънче,Подуяне
na,na,na,"ПГ в 172 ОУ ""Христо Ботев"" (полудневна организация)",Нови Искър
na,na,na,"ПГ в 171 ОУ ""Стоил Попов"" (полудневна организация)",Нови Искър
26,na,na,ДГ №173 Звънче - сграда Алиса,Подуяне
44,38,10,ДГ №172 София (с яслени групи),Надежда
53,47,15,ДГ №171 Свобода (с яслени групи),Надежда
25,na,na,ДГ №169 Коледарче,Красна поляна
na,na,na,"ПГ в 170 СУ ""Васил Левски"" (полудневна организация)",Нови Искър
22,na,na,ДГ №168 Слънчогледи - сграда ул. Андрей Николов,Слатина
27,20,na,ДГ №170 Пчелица (с яслени групи),Надежда
27,20,23,ДГ №170 Пчелица - сграда 2,Надежда
na,na,na,ДГ №169 Коледарче - почасова организация,Красна поляна
27,na,na,ДГ №168 Слънчогледи - сграда ул. Лидице,Слатина
na,na,na,"ДГ №167 Малкият принц - сграда ул. Янко Забунов, почасова организация",Триадица
26,na,na,ДГ №168 Слънчогледи,Слатина
na,na,na,ДГ №167 Малкият принц - почасова организация,Триадица
na,na,na,ДГ №167 Малкият принц - сграда ул. Янко Забунов,Триадица
na,na,na,ДГ №165 Латинка - почасова организация,Изгрев
50,na,na,ДГ №167 Малкият принц,Триадица
na,na,na,ДГ №166 Веселушка - почасова организация,Лозенец
25,na,na,ДГ №166 Веселушка,Лозенец
57,na,na,ДГ №165 Латинка,Изгрев
na,na,na,"ПГ в 163 ОУ ""Черноризец Храбър"" (полудневна организация)",Искър
16,19,na,ДГ №164 Зорница (с яслени групи),Овча купел
na,na,na,"ПГ в 162 ОУ ""Отец Паисий"" (полудневна организация)",Кремиковци
na,na,na,ДГ №162 Вихрогонче - сграда,Красно село
na,na,na,ДГ №161 Ласка - сграда 1 ул. Евлия Челеби,Овча купел
na,11,4,"ДГ №161 Ласка - сграда 2 ж.к. Овча купел, бл. 611",Овча купел
26,38,na,ДГ №160 Драгалевци - сграда 2,Витоша
1,na,na,"ДГ №159 Олимпийче - сграда 2, почасова организация",Средец
na,na,na,ДГ №159 Олимпийче - сграда 2,Средец
19,20,na,ДГ №160 Драгалевци (с яслени групи),Витоша
28,14,5,ДГ №161 Ласка (с яслени групи),Овча купел
51,na,na,ДГ №162 Вихрогонче,Красно село
27,na,na,ДГ №159 Олимпийче,Средец
29,20,12,ДГ №158 Зора (с яслени групи),Илинден
na,na,na,"ПГ в 155 ОУ ""Св. Св.Kирил и Методий""",Панчарево
35,35,16,ДГ №157 Детска стряха (с яслени групи),Нови Искър
