address,enrolled2012chron,enrolled2012ord,enrolled2012sop,enrolled2012wg,enrolled2013chron,enrolled2013ord,enrolled2013sop,enrolled2013wg,enrolled2014chron,enrolled2014ord,enrolled2014sop,enrolled2014wg,enrolled2015chron,enrolled2015ord,enrolled2015sop,enrolled2015wg,enrolled2016chron,enrolled2016ord,enrolled2016sop,enrolled2016wg,enrolled2017chron,enrolled2017ord,enrolled2017sop,enrolled2017wg,enrolled2018chron,enrolled2018ord,enrolled2018sop,enrolled2018wg,kg,region,webpage
"гр.София,  ул. ""Хан Крум"", №23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,0,0,2,9,0,0,0,0,0,0,СДЯ №1,Средец,https://kg.sofia.bg/isodz/dz/242;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Шишман"", №28",1,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ПГ в 7 СУ ""Св. Седмочисленици"" (полудневна организация)",Средец,https://kg.sofia.bg/isodz/dz/367;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ж.к. Толстой, бл. 65, ет. 1",0,0,0,0,0,0,0,0,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №6 Вълшебен свят - сграда 2,Надежда,https://kg.sofia.bg/isodz/dz/275;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Ген. Стефан Тошев"" ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №8 Проф. д-р Елка Петрова - почасова организация,Красно село,https://kg.sofia.bg/isodz/dz/308;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ж.к. ""Младост-1"", ул. ""Методи Андонов"", №1",0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ПГ в 10 СУ ""Теодор Траянов"" (целодневна организация)",Младост,https://kg.sofia.bg/isodz/dz/369;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Полк. Георги Янков"", №3",0,17,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ПГ в 8 СУ ""Васил Левски"" (целодневна организация)",Студентски,https://kg.sofia.bg/isodz/dz/368;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Овчо поле"", №16",1,28,1,0,1,30,0,0,1,32,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №9 Пламъче,Овча купел,https://kg.sofia.bg/isodz/dz/104;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Полк. Георги Янков"", №3",1,11,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ПГ в 8 СУ ""Васил Левски"" (полудневна организация)",Студентски,https://kg.sofia.bg/isodz/dz/468;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Деян Белишки"", №44 ",34,37,1,13,39,42,0,4,41,47,0,3,23,55,2,6,5,18,0,3,5,20,0,1,0,0,0,0,ДГ №7 Детелина (с яслени групи),Триадица,https://kg.sofia.bg/isodz/dz/29;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ж. к. ""Л. Толстой"",  ул. ""Генерал Жостов"" , №1",3,42,0,0,5,52,3,0,0,0,0,0,2,39,0,0,9,41,0,0,0,0,0,0,0,0,0,0,ДГ №6 Вълшебен свят (с яслени групи),Надежда,https://kg.sofia.bg/isodz/dz/175;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Ген. Стефан Тошев"" , №34",50,32,4,2,41,33,0,0,54,39,1,0,42,40,0,1,15,38,0,3,1,21,0,0,0,0,0,0,ДГ №8 Проф. д-р Елка Петрова (с яслени групи),Красно село,https://kg.sofia.bg/isodz/dz/147;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  кв. Павлово, ул. ""Симеон Радев"", №31",3,26,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ПГ в 5 ОУ ""Иван Вазов"" (целодневна организация)",Витоша,https://kg.sofia.bg/isodz/dz/366;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  жк. Връбница - 2, бл. 621, вх. А",0,8,0,0,1,3,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №5 Надежда - сграда Връбница 2,Връбница,https://kg.sofia.bg/isodz/dz/210;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ж.к. Обеля - 2, бл. 204, бл. 207, бл. 214, бл.221",0,21,0,0,0,18,0,0,0,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №5 Надежда - сграда Обеля 2,Връбница,https://kg.sofia.bg/isodz/dz/270;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.Банкя,  ул. ""П. Д. Петков"", №15",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №25 Изворче - почасова организация,Банкя,https://kg.sofia.bg/isodz/dz/313;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Вършец"", № 11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ДГ №110 Слънчева мечта - сграда 2, почасова организация",Подуяне,https://kg.sofia.bg/isodz/dz/339;jsessionid=B61DA1F6877670D965AC9BEF814AC209
" ул. ""Искърско дефиле""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ПГ в 170 СУ ""Васил Левски"" (целодневна организация)",Нови Искър,https://kg.sofia.bg/isodz/dz/487;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  кв. ""Връбница"" I ч.  бл. 510 А,Б ",0,15,0,0,0,25,0,0,0,11,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №5 Надежда (с яслени групи),Връбница,https://kg.sofia.bg/isodz/dz/190;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  жк. Обеля - 1, бл.102, вх.А и вх.Г",0,13,0,0,0,13,0,0,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №5 Надежда - сграда Обеля 1,Връбница,https://kg.sofia.bg/isodz/dz/209;jsessionid=B61DA1F6877670D965AC9BEF814AC209
