born,kg,places,region,tail,webpage
2016,ДГ №11 Мики Маус - почасова организация,0,Младост,Соп,https://kg.sofia.bg/isodz/dz/310
2018,ДГ №10 Чебурашка (с яслени групи),0,Студентски,Соп,https://kg.sofia.bg/isodz/dz/172
2018,ДГ №10 Чебурашка (с яслени групи),0,Студентски,Хронични,https://kg.sofia.bg/isodz/dz/172
2017,ДГ №10 Чебурашка (с яслени групи),0,Студентски,Соп,https://kg.sofia.bg/isodz/dz/172
2017,ДГ №10 Чебурашка (с яслени групи),6,Студентски,Хронични,https://kg.sofia.bg/isodz/dz/172
2016,ДГ №11 Мики Маус - почасова организация,0,Младост,Хронични,https://kg.sofia.bg/isodz/dz/310
2016,ДГ №11 Мики Маус - почасова организация,1,Младост,Социални,https://kg.sofia.bg/isodz/dz/310
2016,ДГ №11 Мики Маус - почасова организация,3,Младост,Общи,https://kg.sofia.bg/isodz/dz/310
2018,ДГ №10 Чебурашка (с яслени групи),2,Студентски,Социални,https://kg.sofia.bg/isodz/dz/172
2018,ДГ №10 Чебурашка (с яслени групи),4,Студентски,Общи,https://kg.sofia.bg/isodz/dz/172
2017,ДГ №10 Чебурашка (с яслени групи),8,Студентски,Социални,https://kg.sofia.bg/isodz/dz/172
2017,ДГ №10 Чебурашка (с яслени групи),20,Студентски,Общи,https://kg.sofia.bg/isodz/dz/172
2016,ДГ №6 Вълшебен свят (с яслени групи),4,Надежда,Соп,https://kg.sofia.bg/isodz/dz/175
2016,ДГ №6 Вълшебен свят (с яслени групи),0,Надежда,Хронични,https://kg.sofia.bg/isodz/dz/175
2016,ДГ №11 Мики Маус (с яслени групи),0,Младост,Соп,https://kg.sofia.bg/isodz/dz/92
2016,ДГ №11 Мики Маус (с яслени групи),0,Младост,Хронични,https://kg.sofia.bg/isodz/dz/92
2016,ДГ №9 Пламъче,2,Овча купел,Соп,https://kg.sofia.bg/isodz/dz/104
2018,ДГ №11 Мики Маус (с яслени групи),0,Младост,Соп,https://kg.sofia.bg/isodz/dz/92
2017,ДГ №11 Мики Маус (с яслени групи),0,Младост,Соп,https://kg.sofia.bg/isodz/dz/92
2017,ДГ №6 Вълшебен свят (с яслени групи),0,Надежда,Соп,https://kg.sofia.bg/isodz/dz/175
